x_name,y_name,correlation
Inflation (%),Labor Freedom,-0.17124102961172832
Inflation (%),Monetary Freedom,-0.5344923440188744
Inflation (%),Trade Freedom,-0.10755404163827188
Inflation (%),Investment Freedom ,-0.21499271901744194
Inflation (%),Financial Freedom,-0.16816830164749305
FDI Inflow (Millions),Property Rights,0.29100123615313855
FDI Inflow (Millions),Judical Effectiveness,0.3616033964537939
FDI Inflow (Millions),Government Integrity,0.3274346002943032
FDI Inflow (Millions),Tax Burden,-0.07732736620132132
FDI Inflow (Millions),Gov't Spending,-0.026529692965571398
FDI Inflow (Millions),Fiscal Health,0.040304751008969464
FDI Inflow (Millions),Business Freedom,0.2238021289525494
FDI Inflow (Millions),Labor Freedom,0.20696526377416927
FDI Inflow (Millions),Monetary Freedom,0.08255055464143489
FDI Inflow (Millions),Trade Freedom,0.2029419033610244
FDI Inflow (Millions),Investment Freedom ,0.15310668352481452
FDI Inflow (Millions),Financial Freedom,0.24738747737102457
Public Debt (% of GDP),Property Rights,0.09545125229325309
Public Debt (% of GDP),Judical Effectiveness,0.07208732624077292
Public Debt (% of GDP),Government Integrity,0.10126681659659556
Public Debt (% of GDP),Tax Burden,-0.20372366022404473
Public Debt (% of GDP),Gov't Spending,-0.07415644006863677
Public Debt (% of GDP),Fiscal Health,-0.30589340706055534
Public Debt (% of GDP),Business Freedom,0.051593277537828004
Public Debt (% of GDP),Labor Freedom,-0.024997498913066858
Public Debt (% of GDP),Monetary Freedom,0.04895452599205311
Public Debt (% of GDP),Trade Freedom,-0.021257710372293192
Public Debt (% of GDP),Investment Freedom ,0.11142012152199941
Public Debt (% of GDP),Financial Freedom,0.0719639558603526
